isbn;ean;title;publisher;date;seriesTitle;seriesNumber;authorSurname;AuthorName;type;totalCopies;numberCopiesAimeCesaire;numberCopiesEdmondRostand;numberCopiesJeanPierreMelville;numberCopiesOscarWilde;numberCopiesSaintSimon
978-2-262-03377-4;9782262033774;Histoire des auteurs | Texte imprimé | Isabelle Diu, Élisabeth Parinet;Perrin;impr. 2013;;;Diu;Isabelle;Livre pour adulte;8;1;;1;;
978-2-226-24649-3;9782226246493;Sâdhanâ | Texte imprimé | Rabindranath Tagore,... | traduction [de l'anglais] et préface de Jean Herbert;A. Michel;DL 2013;;;Tagore;Rabindranath;Livre pour adulte;18;1;1;1;;
978-2747-00-0376;;Je me trouve nulle | Texte imprimé | Florence Dutruc-Rosset,ill. par Marylise Morel;Bayard;2006;;;Dutruc-Rosset;Florence;Livre jeunesse;20;1;;;1;
978-2-7424-3347-6;9782742433476;Baie du Mont-Saint-Michel | le Mont-Saint-Michel, Cancale, Avranches, Granville, les îles Chausey;Gallimard loisirs;2013;;;;;Livre pour adulte;7;;;;;1
978-2-7424-3337-7;9782742433377;Provence | Manuel Jardinaud, Jean-François Paillard, Muriel Vincent | ont également collaboré Celia Benisty, Marie-Amal Bizalion, France Bourboulon et al.;Gallimard loisirs;2013;;;Jardinaud;Manuel;Livre pour adulte;4;;1;;;
978-2-36106-034-3;9782361060343;Pensées rebelles | Texte imprimé | Foucault, Derrida, Deleuze | [avec les contributions de Marc Abélès, Sébastien Camus, François Cusset, et al.];Sciences humaines éd.;impr. 2013;;;;;Livre pour adulte;13;;;;;
9782701161426;9782701161426;Guide des petites bêtes des villes et des jardins | Texte imprimé | Vincent Albouy;Belin;DL 2013;;;Albouy;Vincent;Livre pour adulte;3;;;;;
978-2-7529-0587-1;9782752905871;L'île | Texte imprimé | roman | Meša Selimovi? | traduit du serbo-croate (Serbie) par Alain Cappon;Phébus;impr. 2013;;;Selimovi?;Meša;Livre pour adulte;9;;1;;;
978-2-8229-0010-2;9782822900102;Italie du Nord | textes Tim Jepson | photographies Matt Propert | traduction Françoise Fortoul;National Geographic;2013;;;Jepson;Tim;Livre pour adulte;7;;;1;;
978-2-268-07513-6;9782268075136;Menaces cybernétiques | Texte imprimé | le manuel du combattant | Yves-Marie Peyry;Éd. du Rocher;DL 2013;;;Peyry;Yves-Marie;Livre pour adulte;4;;1;;;
978-2-84186-682-3;9782841866823;L'homme qui n'avait rien compris | Texte imprimé | roman | Youcef Zirem;Michalon;impr. 2013;;;Zirem;Youcef;Livre pour adulte;3;;;;;
978-2-7071-6983-9;9782707169839;À l'école des dyslexiques | Texte imprimé | naturaliser ou combattre l'échec scolaire ? | Sandrine Garcia;la Découverte;impr. 2013;;;Garcia;Sandrine;Livre pour adulte;3;;;;;
979-10-90998-04-9;9791090998049;Le complexe du prisme | Texte imprimé | roman | Fabrice Pichon;les Éd. du Citron bleu;DL 2013;;;Pichon;Fabrice;Livre pour adulte;2;;;;;
978-2-7529-0760-8;9782752907608;Graveney Hall | Texte imprimé | roman | Linda Newberry | traduit de l'anglais (Royaume-Uni) par Joseph Antoine;Phébus;impr. 2013;;;Newbery;Linda;Livre pour adulte;9;;1;;;
978-2-35142-831-3;9782351428313;Arata | 14 | Texte imprimé | Yuu Watase;Kurokawa;DL 2013;Arata;14;Watase;Yuu;Bande dessinée jeunesse;22;1;1;2;1;
978-2-266-23396-5;9782266233965;Face au danger | Texte imprimé | Kathryn Lasky | traduit de l'anglais (États-Unis) par Cécile Moran;PKJ;impr. 2013;Le royaume des loups;5;Lasky;Kathryn;Livre jeunesse;29;;1;1;;
978-2-302-02794-7;9782302027947;Le grand tournoi | Texte imprimé | scénario, Mathieu Mariolle | dessin, Philippe Cardona | encrage, Éric Pilot | couleurs, Laurent Lagrue;Soleil;DL 2013;Foot 2 rue, ligue 1;1;Mariolle;Mathieu;Bande dessinée jeunesse;18;1;;;;1
;;Into the hot | Enregistrement sonore | Gil Evans Orchestra;Distrib. BMG;1987;;;;;Disque compact;1;;;;;
978-2-0812-8878-2;9782081288782;Atlas du Monde | Document cartographique | textes Nick Crane | illustrations David Dean | [traduction Cécile Chartres];Flammarion;impr. 2012;;;Crane;Nicholas;Livre jeunesse;13;;;1;;
;;In the heat of the night | Enregistrement sonore | Benatar P;Chrysalis;1993;;;;;Disque compact;2;;;;;
978-2-211-20903-8;9782211209038;Rouge c'est mieux | Texte imprimé | texte de Kathy Stinson | illustrations de Robin Baird Lewis | [texte français d'Odile Josselin];"Pastel;l'École des loisirs";DL 2013;;;Stinson;Kathy;Livre jeunesse;54;;1;1;1;
978-2-36624-025-2;9782366240252;Le lion mangeur de dessins | Texte imprimé | texte de Beniamino Sidoti | illustrations de Gianluca Foli | [traduit par Chopanetti];Cambourakis;DL 2013;;;Sidoti;Beniamino;Livre jeunesse;19;;1;1;;
978-2-8126-0473-7;9782812604737;Vampires, cartable et poésie | Texte imprimé | Sébastien Joanniez;Rouergue;impr. 2013;;;Joanniez;Sébastien;Livre jeunesse;4;;;1;;
978-2-8126-0472-0;9782812604720;Quand j'étais cagibi | Texte imprimé | Hélène Gaudy | illustrations d'Émilie Harel;Rouergue;impr. 2013;;;Gaudy;Hélène;Livre jeunesse;21;;;1;;
978-2-7470-3592-7;9782747035927;Diva | Texte imprimé | Jillian Larkin | traduit de l'anglais (États-Unis) par Bee Formentelli;Bayard jeunesse;DL 2013;Cabaret;3;Larkin;Jillian;Livre de section jeunesse > 12 ans;16;;;1;;
;5050582942651;Trotro | Images animées | petit clown | Eric Cazes, Stéphane Lezoray, réal. | Bénédicte Guettier, aut. adaptée | Francis Medoc, comp.;Universal pictures video France [éd., distrib.];[DL 2013];;;;;DVD jeunesse;16;;2;;;
;5034504262928;Wild thing | Enregistrement sonore | Troggs (The);Dom;2012;;;;;Disque compact;1;;;;;
"2-264-03900-0;2-264-01062-2";;Pas de pitié pour les neveux, Jeeves | Texte imprimé | P. G. Wodehouse | trad. de l'anglais par Claude Alengry;U.G.E;1987;;;Wodehouse;Pelham Grenville;Livre pour adulte;3;;;;;
978-3-423-78214-2;9783423782142;Doppelpoker | Texte imprimé | Christian Linker;Deutscher Taschenbuch Verlag;2007;;;Linker;Christian;Livre en langue étrangère;1;;;;;
978-3-407-74102-8;9783407741028;Blueprint Blaupause | Texte imprimé | Charlotte Kerner;Beltz & Gelberg;2004;;;Kerner;Charlotte;Livre en langue étrangère;1;;;;;
;;César | images animées | Marcel Pagnol, aut. adapté, scénario, réal. | Vincent Scotto, comp. | Raimu, Pierre Fresnay, Orane Demazis... [et al], act.;Compagnie méditerranéenne de films [éd., distrib.];2003;La trilogie;;;;DVD-vidéo tous publics;3;;;;;
978-0-7636-5112-1;9780763651121;Farmer Duck | Multimédia multisupport | Martin Waddell  | Illustrated by Helen Oxenbury;Candlewick Audio;[2011];;;Waddell;Martin;Livre jeunesse;2;;;;;
978-2-84167-774-0;9782841677740;Bijoux au point de croix | Texte imprimé | 54 créations | Martine Rigeade;D. Carpentier;DL 2012;;;Rigeade;Martine;Livre pour adulte;1;;;;;
;;Into the labyrinth | Enregistrement sonore | Dead Can Dance;Distrib. EMI;1993;;;;;Disque compact;9;;;;1;
978-604-56-0983-5;9786045609835;Nâu an bang lo vi song | Texte imprimé | Trinh Hông Hanh;NXB Ph? n?;2012;;;"Tr?nh;Tr?nh";"H?ng H?nh;H?ng H?nh";Livre pour adulte;1;;;1;;
979-10-90648-05-0;9791090648050;Le projet Morgenstern | Texte imprimé | David S. Khara;Éd. Critic;DL 2013;;;Khara;David;Livre pour adulte;27;1;;1;;1
978-2-221-13418-4;9782221134184;Bloody Miami | Texte imprimé | Tom Wolfe | traduit de l'anglais (États-Unis) par Odile Demange;R. Laffont;impr. 2013;;;Wolfe;Tom;Livre pour adulte;44;1;1;1;1;1
;0702397500223;Milford Graves-John Zorn duo | Enregistrement sonore;Tzadik;P 2004;;;Zorn;John;Disque compact;1;;;;;
;0042282141620;As falls Wichita, so falls Wichita falls | enregistrement sonore | Lyle Mays;Ecm Records;1981;;;Mays;Lyle;Disque compact;1;;;;;
;5013929380127;Stray Dog | enregistrement sonore | Stray Dog;Cherry Red Records;2009;;;Stray Dog;;Disque compact;1;;;;;
;"075597959185;0075597959185";Beautiful Africa | Enregistrement sonore | Rokia Traoré, chant [acc. instr.];"WEA international;[distrib. Warner music France]";P 2013;;;Traoré;Rokia;Disque compact;28;;1;1;1;
;8936024917432;Con thuyên | Texte imprimé | truyên ngan | Nam Lê | traduit de l'anglais par Thiên Nga et Thuân Thuc;NXB H?i Nhà v?n;2011;;;Le;Nam;Livre pour adulte;1;;;1;;
978-3-312-00966-4;9783312009664;Liebeslinien | Texte imprimé | Marjaleena Lembcke;Nagel & Kimche;2006;;;Lembcke;Marjaleena;Livre en langue étrangère;1;;;;;
;;How I met your mother | Saison 7 | Episodes 9 à 16 | Images animées | Carter Bays, Craig Thomas, idée orig. | Alyson Hannigan, Cobie Smulders, Neil Patrick Harris... [et al.], act.;Twentieth century Fox home entertainment [éd.];2012;How I met your mother;;;;DVD-vidéo tous publics;4;;;;;
978-2-212-54949-2;9782212549492;J'en ai marre de crier ! | Texte imprimé | comment se faire obéir sans hausser le ton | Dr Gisèle George | [propos recueillis par] Charles Brumauld;Eyrolles;DL 2012;;;George;Gisèle;Livre pour adulte;2;;;;;
978-2-253-13175-5;9782253131755;Petits tracas et gros soucis de 8 à 12 ans | Texte imprimé | quoi dire, quoi faire | Christine Brunet, Anne-Cécile Sarfati;Librairie générale française;impr. 2011;;;Brunet;Christine;Livre pour adulte;4;;;;;
978-2-266-20761-4;9782266207614;Villa numéro 2 | Danielle Steel | traduit de l'anglais (États-Unis) par Eveline Charlès;Pocket;2011;;;Steel;Danielle;Livre pour adulte;1;;;;;
;"028947852421;0028947852421";Alleluia | Enregistrement sonore | Antonio Vivaldi, G. F. Handel, Nicola Porpora... [et al.], comp. | Julia Lezhneva, soprano | Il Giardino Armonico | Giovanni Antonini, dir.;"Universal music;[distrib. Universal Barclay]";P 2013;;;Lezhneva;Julia;Disque compact;8;;;;;
2-905453-03-6;;Vapeurs du PLM | Texte imprimé | Guy Jourdan;RAG Ed.;1992;;;Jourdan;Guy;Livre pour adulte;1;;;;;
;;La scène française contemporaine | Texte imprimé | Sous la direction de Christophe Triau;"CNDP;Scéren";2013;TDC, Textes et documents pour la classe;1052;;;Livre jeunesse;6;;1;;;
978-2-297-01153-2;9782297011532;Les institutions publiques françaises et européennes | Texte imprimé | Dominique Grandguillot;Gualino-Lextenso éd.;DL 2008;;;Grandguillot;Dominique;Livre pour adulte;2;;;;;
;"077712710336;0077712710336";The Main man | Enregistrement sonore | Eddie Jefferson, chant [acc. instr.];Inner City Records;1996;;;Jefferson;Eddie;Disque compact;4;;;;;
954419160;;Sultan al-tulba | Texte imprimé | masrah | Abd al-Samad Al-Kanfâwi | avec la collab. de Tayeb Saddiki | muqaddimat Hamid Al-Triki;Târiq li-nasr, DL;2004;;;Kanfâwi;Abd al-Samad;Livre en langue étrangère;1;;;;;
978-2-35017-280-4;9782350172804;Le graffiti dans les lieux abandonnés | Texte imprimé | Antonin Giverne | [traduction français-anglais par Lucian Comoy et anglais-français par Claire Reach];Pyramyd;DL 2012;Hors du temps;2;Giverne;Antonin;Livre pour adulte;5;;;;;
;8935212311854;Cây tre tram dôt | Texte imprimé | raconté par An Thy, illustré par An Nam;NXB M? thu?t;2012;;;An Thy;;Livre jeunesse;1;;;1;;
;0028947850533;Les 101 Chefs-d'oeuvres de Verdi | enregistrement sonore | Giuseppe Verdi, comp.;Decca;2013;;;Verdi;Giuseppe;Disque compact;1;;;;;
;"3760068971205;03760068971205";Arman Méliès | IV | Enregistrement sonore;"At(h)ome;[distrib. Wagram music]";P 2013;;;Méliès;Arman;Disque compact;6;;;;1;
;3770000070279;L'ours Benjamin | Images animées | Le pays des peluches;Kappa Entreprises [éd.];cop. 2013;;;;;DVD jeunesse;1;;;;;
;3384442178143;Lonesome Jim | Images animées | Steve Buscemi, réal. | Evan Lurie, comp. | James C. Strouse, scénario | Jack Rovello, Kevin Corringan, Seymour Cassel, Mary Kay Place, Liv Tyler, Casey Affleck, ... [et al.] act.;MK2 éditions [éd.];2008;;;;;DVD-vidéo tous publics;1;;;;;
;3760121798718;Le joueur de flûte de Hamelin | Images animées;Zylo [éd.];cop. 2011;;;;;Enregistrement musical pour la jeunesse;1;;;;;
;5051889333098;Wonder Bar | Images animées | Lloyd Bacon, réal. | Robert Katscher, Karl Farkas, Geza Herczeg, adapt. | Earl Baldwin, scénario | Dick Powell, Ricardo Cortez, Dolores del Rio, Kay Francis, Al Jolson, ... [et al.] act.;Warner Home Video [éd.];2013;;;;;DVD-vidéo tous publics;7;;;1;;
;3700697000297;Morgan | Images animées | a suitable case for treatment | Karel Reisz, réal. | David Mercer, scénario | John Dankworth, comp. | David Warner, Vanessa Redgrave, Robert Stephens... [et al.], act.;Tamasa distribution [éd., distrib.];[DL 2014];;;;;DVD-vidéo tous publics;10;;;1;;
2-226-05791-9;;Les araignées | Texte imprimé | Luise Woelflein | ill. par Tomo Narashima;A. Michel jeunesse;1992;;;Woelflein;Luise;Livre jeunesse;4;;;;;
;3545020027325;L'amant de Lady Chatterley | Images animées | Marc Allegret, réal. | D.H. Lawrence, adapt. | Joseph Kosma, comp. | Marc Allegret, scénario | Gérard Sety, Christian Marquand, Jean Murat, Erno Crisa, Léo Genn, Danielle Darrieux, ... [et al.] act.;Solaris distribution [éd.];2013;;;;;DVD-vidéo tous publics;7;;;1;;
;3309450029874;Cédric | Images animées | Maman les petits bateaux ... | Raoul Cauvin, Laudec, aut. adapté;Citel Video [éd.];2009;;;;;DVD jeunesse;1;;;;;
972-26-1902-0;9789722619028;Histórias tradicionais portuguesas contadas de novo | Texte imprimé | António Torrado | illustrações Maria João Lopes;Civilização;2002;;;Torrado;António;Livre en langue étrangère;1;;;;;
978-2-35046-273-8;9782350462738;Planche(s) contact | Texte imprimé | Festival de photographie de Deauville... | édition 2010, édition 2011 | David Armstrong, Charles Fréger, Namsa Leuba, Meffre et Marchand, Lise Sarfati, Lars Turnbjörk, Massimo Vitali... | [organisé par la Ville de Deauville] | [sous la direction de Patrick Remy] | [traduction anglaise par Erin Lawlor];Filigranes éd.;impr. 2012;;;;;Livre pour adulte;1;;1;;;
978-2-8036-2852-0;9782803628520;120 blagues de schtroumpfs | Texte imprimé | 5 | Peyo;Le Lombard;2012;120 blagues de Schtroumpfs;5;Peyo;;Bande dessinée jeunesse;3;;1;;;
978-2-302-02238-6;9782302022386;Leçon pour une débutante | Texte imprimé | scénario, Audrey Alwett | dessins et supervision des couleurs, Eleonora Bietolini | couleurs, Alessandra Bracaglia, Yellowhale;Soleil;DL 2012;Danseuse;1;Alwett;Audrey;Bande dessinée jeunesse;7;2;;;;
978-2-35481-036-8;9782354810368;Le premier imagier des tout-petits | Texte imprimé | [illustrations de] Christine Gourmelen;Thomas jeunesse;DL 2009;;;Gourmelen;Christine;Livre jeunesse;1;;;;;
978-2-84801-718-1;9782848017181;La colère de Totam | Texte imprimé | Xavier Deneux;Tourbillon;DL 2012;;;Deneux;Xavier;Livre jeunesse;1;;;;;
;;Hulchul | Images animées | Priyadarshan, réal. | Priyadarshan, réal.Neeraj Vora, scénario | Vidhyasagar, Surendra Singh Sodhi, comp. | Akshaye Khanna, Kareena Kapoor, Amrish Puri... [et al.], act.;Bollywood Zone [éd.];cop. 2012;;;;;DVD-vidéo tous publics;2;;;;;
0-7497-4045-0;;Alphabet gallery | Texte imprimé | an ABC of conpemporary illustrators | [devised By Gina Pollinger];Mammoth;1999;;;Pollinger;Gina;Livre en langue étrangère;1;;;;;
978-2-87706-824-6;9782877068246;Rencontre | Texte imprimé | roman | Jacqueline de Romilly,...;Éd. de Fallois;impr. 2013;;;Romilly;Jacqueline de;Livre pour adulte;22;1;1;;;
978-2-09-252962-1;9782092529621;Jonas | Texte imprimé | le prophète insoumis | Anne Jonas | illustrations, Julie Ricossé | dossier, Marie-Thérèse Davidson;Nathan;DL 2012;;;Jonas;Anne;Livre jeunesse;7;;1;;;
;3760149450285;Au nom d'Athènes | Images animées | Fabrice Hourlier, réal., scénario | Stéphanie Hauville, scénario | Olivier Lafuma, comp. | Dominique Reymond, voix | Jean-Pierre Michael, voix, act. | David Atrakchi, Marc Duret... [et al.], act.;Chiloé productions [éd., distrib.];[DL 2013];;;;;DVD-vidéo tous publics;1;;;;;
;5026555254519;Red dead redemption | ressource électronique | Rockstar Games;"Rockstar Games;Take-two France [distrib.]";cop. 2009;;;;;Jeux vidéos > 18 ans;1;;;;;
;8712177060542;Jeff Buckley | Images animées | live in Tokyo 1995 | Jeff Buckley, guitare, chant;IMG Music [éd.];2012;;;;;DVD-vidéo tous publics;1;;;;;
;807280707199;Paco de Lucía & group | Images animées | Dieter Hens, réal. | Paco de Lucía, guitare;Arthaus Musik [éd.];2012;;;;;DVD-vidéo tous publics;2;;;;;
;3760189610496;Sur le chemin des dunes | Images animées | Bavo Defurne, réal., scénario | André Sollie, aut. adapté | Yves Verbraeken, scénario | Adriano Cominotto, comp. | Thomas Coumans, Eva Van Der gucht, Ben Van Den heuvel, ... [et al.] act.;Outplay [éd.];2013;;;;;DVD-vidéo tous publics;6;;;1;;
978-2-215-11139-9;9782215111399;Un petit monde en feutrine | Texte imprimé | cousez, rembourrez, amusez-vous ! | Jeanette Lim | [traduit et adapté de l'anglais par Marie Pieroni];Fleurus;DL 2012;;;Lim;Jeanette;Livre pour adulte;1;;;;;
978-2-7498-1090-4;9782749810904;Médée | Texte imprimé | Euripide | traduction et préface de Daniel Mesguich;L'Avant-scène théâtre;DL 2008;;;Euripide;;Livre pour adulte;2;;;;;
978-2-36306-079-2;9782363060792;La Mongolie au fil du présent | Texte imprimé | regards photographiques | Lucile Chombart de Lauwe, Sophie Zénon, A Yin | [exposition, Boulogne-Billancourt, jardin du Musée Albert Kahn, avril-novembre 2012] | [catalogue par Gaëlle Lacaze, Laetitia Merli, Justine Pribetich] | [sous la direction de Valérie Perlès];"B. Chauveau-Couleurs contemporaines;Albert Kahn-Musée et jardin";impr. 2013;;;;;Livre pour adulte;5;;1;;;
;;No milk today | Enregistrement sonore | Herman's Hermits;Warner;2002;;;;;Disque compact;1;;;;;
;"0602537174300;602537174300";Apriti sesamo | Enregistrement sonore | Franco Battiato, chant [acc. instr.];"Universal music;[distrib. Universal licensing music]";[ DL 2013];;;Battiato;Franco;Disque compact;10;;;;;
1-86504-794-5;;Blossom Possum | Texte imprimé | The sky is falling down-under | Gina Newton | Kilmeny Niland;Scholastic;2006;;;Newton;Gina;Livre jeunesse;1;;;;;1
978-2-2620-3310-1;9782262033101;La seconde gloire de Rome | Texte imprimé | XVe-XVIIe siècle | Jean Delumeau,...;Perrin;impr. 2013;;;Delumeau;Jean;Livre pour adulte;16;;1;;1;
978-2-84096-675-3;9782840966753;Paris ville érotique | Texte imprimé | une histoire du sexe du Moyen âge au XXIe siècle | Emmanuel Pierrat;Parigramme;impr. 2013;;;Pierrat;Emmanuel;Livre pour adulte;14;;;;1;
978-2-86746-671-7;9782867466717;Truite à la slave | Texte imprimé | Andreï Kourkov | traduit du russe par Annie Epelboin;L. Levi;impr. 2013;;;Kurkov;Andrej Ûr?evi?;Livre pour adulte;29;1;;;1;1
978-2-330-01764-4;9782330017644;Pépites brésiliennes | Texte imprimé | récit | Jean-Yves Loude | avec la collaboration de Viviane Lièvre | illustrations de Dirat;Actes Sud;impr. 2013;;;Loude;Jean-Yves;Livre pour adulte;4;;;;;
978-2-84111-673-7;9782841116737;Éloge du voyage | Texte imprimé | sur les traces d'Arthur Rimbaud | récit | Sébastien de Courtois;NiL;impr. 2013;;;Courtois;Sébastien de;Livre pour adulte;4;;;;;
979-10-91887-08-3;9791091887083;Les historiens de garde | Texte imprimé | de Lorànt Deutsch à Patrick Buisson, la résurgence du roman national | William Blanc, Aurore Chéry, Christophe Naudin | [préf. de Nicolas Offenstadt];Ed. Inculte;2013;;;Blanc;William;Livre pour adulte;15;;1;1;;
2-7436-0509-X;;Le cri de Camaris | Texte imprimé | Tad Williams | trad. de l'américain par Jacques Collin;Payot & Rivages;1999;L'arcane des épées.;6;Williams;Tad;Livre pour adulte;1;;;;;
978-2-7492-1174-9;9782749211749;Empan.  | 76 | Réseaux Internet et lien social | dossier coordoné par Pierre Molinier, Rémy Puyuelo et Chantal Zaouche Gaudron;Erès;2010;Empan;76;;;Livre pour adulte;1;;;;;
;;Zita chante Jean-Roger Caussimon | enregistrement sonore | Zita;;2000;;;Zita;;Livre sonore pour adulte;1;;;;;
978-2-84066-499-4;9782840664994;Musique et document sonore | Texte imprimé | enquête sur la phonographie documentaire dans les pratiques musicales | Pierre-Yves Macé | [préface d'Élie During];les Presses du réel;impr. 2012;;;Macé;Pierre-Yves;Livre de Fonds spécialisés;1;;;;;
978-2-84899-618-9;9782848996189;Le mariage malin | Texte imprimé | Camille Anseaume;Quotidien malin éd.;impr. 2013;;;Anseaume;Camille;Livre pour adulte;1;1;;;;
;3545020026571;Nous, les enfants du XXème siècle | Images animées | Vitali Kanevski, réal.;Potemkine [éd.];2013;;;;;DVD-vidéo tous publics;5;;;1;;
978-0-857-52100-2;9780857521002;The light between oceans | Texte imprimé | M. L. Stedman;Doubleday;2012;;;Stedman;M.L.;Livre en langue étrangère;3;1;;;;
;3475001037329;Twilight | Images animées | chapitre 4 | révélation | partie 1 | Bill Condon, réal.  | Melissa Rosenberg, scénario | Carter Burwell, comp. | Robert Pattinson, Kristen Stewart, Taylor Lautner... [et al.], act.;Snd [éd.];cop. 2013;;;;;DVD-vidéo tous publics;1;;;;;
;3555111002728;Duos pour la basse | Musique imprimée | Bruno Tauzin;Play music;2012;;;Tauzin;Bruno;Partition;1;;;;;
;761203758821;De profundis | enregistrement sonore | Motets | Josquin Desprez, comp. | Weser-Renaissance | Manfred Cordes, dir.;Cpo;2012;;;"Josquin Des Prés;Josquin Des Prés";;Disque compact;1;;;;;
;3512391182830;30 jours de nuit | Images animées | 30 days of night : dust to dust | La série | Victor Garcia, réal.  | Ben Ketai, Steve Niles, scénario | Jermaine Stegall, comp. | Trip Hope, Christopher Stapleton, Shawnee Smith... [et al.], act.;Cine Solutions [éd.];cop. 2013;;;;;DVD- vidéo > 12 ans;2;;;1;;
978-0-385-53138-2;9780385531382;The third gate | Texte imprimé | a novel | Lincoln Child;Doubleday;cop. 2012;;;Child;Lincoln;Livre en langue étrangère;4;;;;;
978-7-5302-1108-3;9787530211083;Wen rou de ye | Texte imprimé | Sanmao;Beijing shi yue wen yi chu ban she, impr.;2011;Sanmao quan ji;;Sanmao;;Livre pour adulte;1;;;1;;
;3554270733016;Les percus en vidéo | Multimédia multisupport | David Mirandon | David Mirandon, perc.;Hit diffusion;impr. 2012;;;;;Méthode musicale;2;;;;;
978-2-36054-070-9;9782360540709;Field recording | Texte imprimé | l'usage sonore du monde en 100 albums | Alexandre Galand;Mot et le reste;2012;;;Galand;Alexandre;Livre pour adulte;5;;;;;
978-2-930440-44-6;9782930440446;Groite et dauche | Texte imprimé | poèmes, peppermints et autres proses | Ernst Jandl | traduit de l'allemand (Autriche) par Lucie Taïeb;Atelier de l'agneau;impr. 2011;;;Jandl;Ernst;Livre de Fonds spécialisés;1;;;;;
978-2-266-21680-7;9782266216807;La pensée PowerPoint | Texte imprimé | enquête sur ce logiciel qui rend stupide | Franck Frommer;Pocket;DL 2012;;;Frommer;Franck;Livre pour adulte;1;1;;;;
978-2-302-02383-3;9782302023833;Avoue que tu m'aimes ! | 2 | Texte imprimé | Aya Oda;Soleil;DL 2012;Avoue que tu m'aimes !;2;Oda;Aya;Bande dessinée jeunesse;1;;;;;
;0602537141012;Damned damned damned | enregistrement sonore;Umc;2012;;;;;Disque compact;1;;;;;
;0605633002027;Jin jin | enregistrement sonore | Firefly;Sba;;;;Brozman;Bob;Disque compact;1;;;;;
;3341348162225;Good morning midnight | Enregistrement sonore | Biga Ranx, feat Potential Kidd, chant [acc. voc. et instr.];"X-ray production;[distrib. Socadisc]";P 2013;;;Biga Ranx;;Disque compact;9;;1;1;;
;"0886977470028;886977470028";Inspiration information | Enregistrement sonore | Wings of love | Suggie Otis, chant [acc. instr.];"Sony music entertainment;distrib. Sony music entertainment";P 2013;;;Otis;Shuggie;Disque compact;12;;1;;1;
978-2-35907-049-1;9782359070491;Nh?n ru?m | Texte imprimé | tuyê?n tâ?p truyê?n ng??n | Trâ?n Thi? Ngh;les Éd. de la Frémillerie;cop. 2012;;;Trân?;Thi? Ng. H.;Livre pour adulte;1;;;1;;
978-2-264-05220-9;9782264052209;Meurtre d'un gigolo | Texte imprimé | Mehmet Murat Somer | traduit du turc par Gökmen Y?lmaz;10-18;DL 2011;;;Somer;Mehmet Murat;Livre pour adulte;1;;;;;
978-2-07-062389-1;9782070623891;Le jour où je me suis déguisé en fille | Texte imprimé | David Walliams | illustrations de Quentin Blake | traduit de l'anglais par Catherine Gibert;Gallimard jeunesse;DL 2012;;;Walliams;David;Livre jeunesse;10;;;1;;
978-2-290-03934-2;9782290039342;Le secret de l'enclos du Temple | Texte imprimé | roman | Jean d'Aillon;J'ai lu;impr. 2011;Les enquêtes de Louis Fronsac;;Aillon;Jean d';Livre pour adulte;1;;;;1;
978-2-919612-19-2;9782919612192;Eto'o fils | 1 | Naissance d'un champion | récit Samuel Eto'o fils | scénario, textes & dialogues Joëlle Esso | dessins & encrage Joëlle Esso;Dagan;2013;Eto'o fils;1;Eto'o;Samuel;Bande dessinée jeunesse;2;;;;;
978-2-273-01141-9;9782273011419;Les métiers du graphisme et du design | Onisep;Onisep;2013;;;;;Livre de Fonds spécialisés;3;;;;;
978-94-6161-060-7;;Plumes amérindiennes | Texte imprimé | Guyane | don Dr. Marcel Heckenroth | sous la direction de Marianne Pourtal Sourrieu;Editions Snoeck;2012;;;;;Livre pour adulte;6;;;;;
978-2-266-20131-5;9782266201315;L'empereur pourpre | Herbie Brennan | traduit de l'anglais par Bertrand Ferrier;Pocket jeunesse;2012;La guerre des fées;2;Brennan;Herbie;Livre jeunesse;1;;;;;
978-2-7578-2627-0;9782757826270;La construction de soi | Texte imprimé | un usage de la philosophie | Alexandre Jollien;Éd. du Seuil;DL 2011;;;Jollien;Alexandre;Livre pour adulte;3;;1;;;
;;Music for Martha Graham | Enregistrement sonore | A. Schenck;Distrib. Média 7;1990;;;Copland;Aaron;Disque compact;1;;;;;
;;Trois esquisses japonaises pour piano | Musique imprimée | Philippe Hersant;Durand, cop;2011;;;Hersant;Philippe;Partition;2;;;;;
2-915794-01-4;9782915794014;Incidences, Pierre Boulez | Texte imprimé | photographies de Philippe Gontier | avant-propos de Stéphane Lissner | entretiens avec Sir Harrison Birtwistle, Pierre Boulez, Elliott Carter... [et al.];Éd. MF;DL 2005;;;Gontier;Philippe;Livre de Fonds spécialisés;1;;;;;
;;Je les ai vu mourir | Texte imprimé | Sven Hassel;Presses de la Cité;1974;;;Hassel;Sven;Livre pour adulte;1;;;;;
978-2-911822-66-7;9782911822667;L'auteur(e) dramatique au XXe siècle | Texte imprimé | formation et transformation (France, USA, Québec) | Simone Balazard;le Jardin d'essai;impr. 2011;;;Balazard;Simone;Livre pour adulte;1;;;;1;
;3333297672573;La fée Coquillette | 3 | Super héros | Images animées | Didier Lévy, Benjamin Chaud, aut. adaptés;"Sony pictures home entertainment [éd.];Sony music entertainment France [distrib.]";[DL 2012];;;;;DVD jeunesse;6;;;;;
;5050582929003;"Monster High - Les Reines de la crim'; Pourquoi les goules tombent amoureuses ? | Images animées | Steve Sacks, Dustin Mckenzie, réal. | Steven Argila, comp. | Mike Montesano, Ted Zizik, scénario";Universal pictures video [éd.];2013;;;;;DVD jeunesse;1;;;;;
